======================================================================
BELUGA CHALLENGE - LÖSUNGSPROTOKOLL
======================================================================

Problem: problems/problem_90_s132_j137_r8_oc81_f43.json
Lösungsdatum: 11.08.2025 20:02:37
Anzahl Schritte: 10561/20000
Erfolgreicher Abschluss: Ja
Benötigte Zeit: 5 Min 14.3 Sek

======================================================================
AKTIONSSTATISTIK (NACH OPTIMIERUNG)
======================================================================

left_unstack_rack        : 2076 ( 23.7%)
left_stack_rack          : 2082 ( 23.8%)
unload_beluga            :  114 (  1.3%)
right_unstack_rack       : 2090 ( 23.9%)
right_stack_rack         : 2087 ( 23.8%)
deliver_to_hangar        :  103 (  1.2%)
load_beluga              :  107 (  1.2%)
get_from_hangar          :  102 (  1.2%)

======================================================================
OPTIMIERUNG
======================================================================

Ursprüngliche Anzahl Schritte: 10561
Optimierte Anzahl Schritte: 8761
Optimierung/Reduktion: 17.04%

======================================================================
OPTIMIERTE AKTIONSSEQUENZ
======================================================================

  1: left_unstack_rack         | Parameter: rack=5, trailer=0
2460: left_unstack_rack         | Parameter: rack=0, trailer=0
2461: right_stack_rack          | Parameter: rack=6, trailer=2
2462: right_unstack_rack        | Parameter: rack=1, trailer=2
2463: right_stack_rack          | Parameter: rack=5, trailer=0
2464: right_stack_rack          | Parameter: rack=7, trailer=1
2465: right_unstack_rack        | Parameter: rack=2, trailer=0
2466: left_stack_rack           | Parameter: rack=4, trailer=0
2467: left_unstack_rack         | Parameter: rack=2, trailer=0
2468: right_unstack_rack        | Parameter: rack=5, trailer=1
2469: right_stack_rack          | Parameter: rack=0, trailer=0
2470: right_stack_rack          | Parameter: rack=0, trailer=1
2471: right_stack_rack          | Parameter: rack=2, trailer=2
2472: left_stack_rack           | Parameter: rack=4, trailer=0
2473: left_unstack_rack         | Parameter: rack=5, trailer=0
2474: left_stack_rack           | Parameter: rack=1, trailer=0
2475: left_unstack_rack         | Parameter: rack=2, trailer=0
2476: right_unstack_rack        | Parameter: rack=6, trailer=0
2477: right_stack_rack          | Parameter: rack=1, trailer=0
2478: right_unstack_rack        | Parameter: rack=7, trailer=1
2479: right_unstack_rack        | Parameter: rack=0, trailer=2
2480: right_stack_rack          | Parameter: rack=5, trailer=1
2481: right_stack_rack          | Parameter: rack=0, trailer=2
2482: right_unstack_rack        | Parameter: rack=3, trailer=2
2483: right_stack_rack          | Parameter: rack=2, trailer=2
2484: right_unstack_rack        | Parameter: rack=4, trailer=1
2485: right_unstack_rack        | Parameter: rack=5, trailer=2
2486: left_stack_rack           | Parameter: rack=4, trailer=0
2487: right_stack_rack          | Parameter: rack=3, trailer=2
2488: left_unstack_rack         | Parameter: rack=5, trailer=0
2489: right_unstack_rack        | Parameter: rack=6, trailer=0
2490: right_unstack_rack        | Parameter: rack=2, trailer=2
2491: left_stack_rack           | Parameter: rack=7, trailer=0
2492: left_unstack_rack         | Parameter: rack=3, trailer=0
2493: right_stack_rack          | Parameter: rack=6, trailer=2
2494: left_stack_rack           | Parameter: rack=3, trailer=0
2495: left_unstack_rack         | Parameter: rack=6, trailer=0
2496: left_stack_rack           | Parameter: rack=2, trailer=0
2497: left_unstack_rack         | Parameter: rack=3, trailer=0
2498: right_unstack_rack        | Parameter: rack=5, trailer=2
2499: left_stack_rack           | Parameter: rack=3, trailer=0
2500: left_unstack_rack         | Parameter: rack=7, trailer=0
2501: right_stack_rack          | Parameter: rack=2, trailer=0
2502: left_stack_rack           | Parameter: rack=2, trailer=0
2503: left_unstack_rack         | Parameter: rack=3, trailer=0
2504: right_stack_rack          | Parameter: rack=6, trailer=2
2505: right_unstack_rack        | Parameter: rack=6, trailer=0
2506: left_stack_rack           | Parameter: rack=3, trailer=0
2507: left_unstack_rack         | Parameter: rack=1, trailer=0
2508: right_unstack_rack        | Parameter: rack=1, trailer=2
2509: left_stack_rack           | Parameter: rack=1, trailer=0
2510: left_unstack_rack         | Parameter: rack=5, trailer=0
2511: right_stack_rack          | Parameter: rack=7, trailer=0
2512: left_stack_rack           | Parameter: rack=5, trailer=0
2513: left_unstack_rack         | Parameter: rack=0, trailer=0
2514: right_unstack_rack        | Parameter: rack=3, trailer=0
2515: left_stack_rack           | Parameter: rack=1, trailer=0
2516: left_unstack_rack         | Parameter: rack=5, trailer=0
2517: left_stack_rack           | Parameter: rack=6, trailer=0
2518: left_unstack_rack         | Parameter: rack=7, trailer=0
2519: right_stack_rack          | Parameter: rack=0, trailer=2
2520: left_stack_rack           | Parameter: rack=6, trailer=0
2521: left_unstack_rack         | Parameter: rack=2, trailer=0
2522: left_stack_rack           | Parameter: rack=5, trailer=0
2523: left_unstack_rack         | Parameter: rack=1, trailer=0
2524: right_unstack_rack        | Parameter: rack=7, trailer=2
2525: left_stack_rack           | Parameter: rack=5, trailer=0
2526: left_unstack_rack         | Parameter: rack=6, trailer=0
2527: right_stack_rack          | Parameter: rack=7, trailer=2
2528: right_stack_rack          | Parameter: rack=6, trailer=0
2529: left_stack_rack           | Parameter: rack=2, trailer=0
2530: left_unstack_rack         | Parameter: rack=0, trailer=0
2531: left_stack_rack           | Parameter: rack=5, trailer=0
2532: left_unstack_rack         | Parameter: rack=6, trailer=0
2533: left_stack_rack           | Parameter: rack=3, trailer=0
2534: left_unstack_rack         | Parameter: rack=0, trailer=0
2535: left_stack_rack           | Parameter: rack=7, trailer=0
2536: left_unstack_rack         | Parameter: rack=4, trailer=0
2537: right_unstack_rack        | Parameter: rack=4, trailer=0
2538: right_stack_rack          | Parameter: rack=7, trailer=0
2539: right_stack_rack          | Parameter: rack=4, trailer=1
2540: right_unstack_rack        | Parameter: rack=6, trailer=1
2541: left_stack_rack           | Parameter: rack=4, trailer=0
2542: right_unstack_rack        | Parameter: rack=2, trailer=0
2543: left_unstack_rack         | Parameter: rack=7, trailer=0
2544: left_stack_rack           | Parameter: rack=5, trailer=0
2545: left_unstack_rack         | Parameter: rack=1, trailer=0
2546: right_stack_rack          | Parameter: rack=0, trailer=1
2547: right_unstack_rack        | Parameter: rack=1, trailer=2
2548: right_unstack_rack        | Parameter: rack=1, trailer=1
2549: right_stack_rack          | Parameter: rack=7, trailer=0
2550: left_stack_rack           | Parameter: rack=5, trailer=0
2551: left_unstack_rack         | Parameter: rack=0, trailer=0
2552: left_stack_rack           | Parameter: rack=1, trailer=0
2553: left_unstack_rack         | Parameter: rack=5, trailer=0
2554: right_stack_rack          | Parameter: rack=0, trailer=1
2555: right_stack_rack          | Parameter: rack=1, trailer=2
2556: left_stack_rack           | Parameter: rack=1, trailer=0
2557: left_unstack_rack         | Parameter: rack=6, trailer=0
2558: left_stack_rack           | Parameter: rack=1, trailer=0
2559: left_unstack_rack         | Parameter: rack=6, trailer=0
2560: right_unstack_rack        | Parameter: rack=7, trailer=1
2561: right_stack_rack          | Parameter: rack=6, trailer=1
2562: right_unstack_rack        | Parameter: rack=4, trailer=1
2563: right_unstack_rack        | Parameter: rack=6, trailer=0
2564: left_stack_rack           | Parameter: rack=0, trailer=0
2565: right_unstack_rack        | Parameter: rack=2, trailer=2
2566: left_unstack_rack         | Parameter: rack=6, trailer=0
2567: right_stack_rack          | Parameter: rack=6, trailer=1
2568: right_unstack_rack        | Parameter: rack=5, trailer=1
2569: right_stack_rack          | Parameter: rack=7, trailer=0
2570: right_unstack_rack        | Parameter: rack=6, trailer=0
2571: left_stack_rack           | Parameter: rack=5, trailer=0
2572: left_unstack_rack         | Parameter: rack=6, trailer=0
2573: right_stack_rack          | Parameter: rack=6, trailer=2
2574: left_stack_rack           | Parameter: rack=6, trailer=0
2575: left_unstack_rack         | Parameter: rack=5, trailer=0
2576: right_stack_rack          | Parameter: rack=4, trailer=1
2577: right_unstack_rack        | Parameter: rack=5, trailer=1
2578: right_unstack_rack        | Parameter: rack=1, trailer=2
2579: right_stack_rack          | Parameter: rack=1, trailer=1
2580: right_unstack_rack        | Parameter: rack=5, trailer=1
2581: left_stack_rack           | Parameter: rack=5, trailer=0
2582: left_unstack_rack         | Parameter: rack=1, trailer=0
2583: right_stack_rack          | Parameter: rack=1, trailer=2
2584: left_stack_rack           | Parameter: rack=2, trailer=0
2585: left_unstack_rack         | Parameter: rack=5, trailer=0
2586: right_stack_rack          | Parameter: rack=5, trailer=1
2587: right_unstack_rack        | Parameter: rack=1, trailer=1
2588: right_unstack_rack        | Parameter: rack=7, trailer=2
2589: right_stack_rack          | Parameter: rack=1, trailer=2
2590: right_unstack_rack        | Parameter: rack=4, trailer=2
2591: left_stack_rack           | Parameter: rack=5, trailer=0
2592: left_unstack_rack         | Parameter: rack=2, trailer=0
2593: right_stack_rack          | Parameter: rack=5, trailer=2
2594: right_unstack_rack        | Parameter: rack=1, trailer=2
2595: left_stack_rack           | Parameter: rack=1, trailer=0
2596: left_unstack_rack         | Parameter: rack=7, trailer=0
2597: right_stack_rack          | Parameter: rack=5, trailer=2
2598: left_stack_rack           | Parameter: rack=7, trailer=0
2599: left_unstack_rack         | Parameter: rack=5, trailer=0
2600: left_stack_rack           | Parameter: rack=1, trailer=0
2601: left_unstack_rack         | Parameter: rack=0, trailer=0
2602: left_stack_rack           | Parameter: rack=2, trailer=0
2603: left_unstack_rack         | Parameter: rack=5, trailer=0
2604: right_unstack_rack        | Parameter: rack=1, trailer=2
2605: left_stack_rack           | Parameter: rack=5, trailer=0
2606: left_unstack_rack         | Parameter: rack=6, trailer=0
2607: left_stack_rack           | Parameter: rack=1, trailer=0
2608: left_unstack_rack         | Parameter: rack=3, trailer=0
2609: right_stack_rack          | Parameter: rack=3, trailer=2
2610: left_stack_rack           | Parameter: rack=7, trailer=0
2611: left_unstack_rack         | Parameter: rack=2, trailer=0
2612: left_stack_rack           | Parameter: rack=1, trailer=0
2613: left_unstack_rack         | Parameter: rack=7, trailer=0
2614: right_unstack_rack        | Parameter: rack=5, trailer=2
2615: left_stack_rack           | Parameter: rack=6, trailer=0
2616: left_unstack_rack         | Parameter: rack=2, trailer=0
2617: left_stack_rack           | Parameter: rack=5, trailer=0
2618: left_unstack_rack         | Parameter: rack=3, trailer=0
2619: right_stack_rack          | Parameter: rack=4, trailer=2
2620: right_unstack_rack        | Parameter: rack=1, trailer=2
2621: left_stack_rack           | Parameter: rack=6, trailer=0
2622: left_unstack_rack         | Parameter: rack=7, trailer=0
2623: left_stack_rack           | Parameter: rack=0, trailer=0
2624: left_unstack_rack         | Parameter: rack=5, trailer=0
2625: right_stack_rack          | Parameter: rack=2, trailer=2
2626: right_stack_rack          | Parameter: rack=2, trailer=1
2627: left_stack_rack           | Parameter: rack=7, trailer=0
2628: left_unstack_rack         | Parameter: rack=5, trailer=0
2629: right_unstack_rack        | Parameter: rack=7, trailer=2
2630: left_stack_rack           | Parameter: rack=2, trailer=0
2631: left_unstack_rack         | Parameter: rack=3, trailer=0
2632: left_stack_rack           | Parameter: rack=5, trailer=0
2633: left_unstack_rack         | Parameter: rack=1, trailer=0
2634: left_stack_rack           | Parameter: rack=3, trailer=0
2635: left_unstack_rack         | Parameter: rack=1, trailer=0
2636: right_unstack_rack        | Parameter: rack=6, trailer=1
2637: left_stack_rack           | Parameter: rack=1, trailer=0
2638: left_unstack_rack         | Parameter: rack=7, trailer=0
2639: left_stack_rack           | Parameter: rack=5, trailer=0
2640: right_stack_rack          | Parameter: rack=3, trailer=2
2641: left_unstack_rack         | Parameter: rack=3, trailer=0
2642: right_unstack_rack        | Parameter: rack=0, trailer=2
2643: left_stack_rack           | Parameter: rack=6, trailer=0
2644: left_unstack_rack         | Parameter: rack=5, trailer=0
2645: left_stack_rack           | Parameter: rack=3, trailer=0
2646: left_unstack_rack         | Parameter: rack=2, trailer=0
2647: right_stack_rack          | Parameter: rack=6, trailer=1
2648: right_unstack_rack        | Parameter: rack=7, trailer=1
2649: left_stack_rack           | Parameter: rack=5, trailer=0
2650: left_unstack_rack         | Parameter: rack=7, trailer=0
2651: left_stack_rack           | Parameter: rack=2, trailer=0
2652: left_unstack_rack         | Parameter: rack=1, trailer=0
2653: right_stack_rack          | Parameter: rack=7, trailer=0
2654: left_stack_rack           | Parameter: rack=1, trailer=0
2655: left_unstack_rack         | Parameter: rack=7, trailer=0
2656: right_stack_rack          | Parameter: rack=5, trailer=1
2657: right_unstack_rack        | Parameter: rack=2, trailer=0
2658: right_unstack_rack        | Parameter: rack=7, trailer=1
2659: left_stack_rack           | Parameter: rack=2, trailer=0
2660: left_unstack_rack         | Parameter: rack=7, trailer=0
2661: left_stack_rack           | Parameter: rack=2, trailer=0
2662: left_unstack_rack         | Parameter: rack=6, trailer=0
2663: left_stack_rack           | Parameter: rack=2, trailer=0
2664: left_unstack_rack         | Parameter: rack=1, trailer=0
2665: left_stack_rack           | Parameter: rack=7, trailer=0
2666: right_stack_rack          | Parameter: rack=7, trailer=1
2667: left_unstack_rack         | Parameter: rack=2, trailer=0
2668: right_stack_rack          | Parameter: rack=1, trailer=2
2669: right_stack_rack          | Parameter: rack=7, trailer=0
2670: left_stack_rack           | Parameter: rack=1, trailer=0
2671: left_unstack_rack         | Parameter: rack=5, trailer=0
2672: right_unstack_rack        | Parameter: rack=5, trailer=1
2673: right_unstack_rack        | Parameter: rack=6, trailer=2
2674: right_unstack_rack        | Parameter: rack=2, trailer=0
2675: right_stack_rack          | Parameter: rack=2, trailer=2
2676: left_stack_rack           | Parameter: rack=1, trailer=0
2677: left_unstack_rack         | Parameter: rack=4, trailer=0
2678: right_unstack_rack        | Parameter: rack=6, trailer=2
2679: left_stack_rack           | Parameter: rack=4, trailer=0
2680: left_unstack_rack         | Parameter: rack=2, trailer=0
2681: left_stack_rack           | Parameter: rack=6, trailer=0
2682: left_unstack_rack         | Parameter: rack=2, trailer=0
2683: left_stack_rack           | Parameter: rack=6, trailer=0
2684: left_unstack_rack         | Parameter: rack=4, trailer=0
2685: right_stack_rack          | Parameter: rack=6, trailer=2
2686: right_unstack_rack        | Parameter: rack=2, trailer=2
2687: right_stack_rack          | Parameter: rack=1, trailer=1
2688: left_stack_rack           | Parameter: rack=4, trailer=0
2689: left_unstack_rack         | Parameter: rack=5, trailer=0
2690: right_unstack_rack        | Parameter: rack=0, trailer=1
2691: left_stack_rack           | Parameter: rack=0, trailer=0
2692: left_unstack_rack         | Parameter: rack=1, trailer=0
2693: left_stack_rack           | Parameter: rack=5, trailer=0
2694: left_unstack_rack         | Parameter: rack=6, trailer=0
2695: left_stack_rack           | Parameter: rack=1, trailer=0
2696: right_stack_rack          | Parameter: rack=1, trailer=0
2697: right_unstack_rack        | Parameter: rack=3, trailer=0
2698: left_unstack_rack         | Parameter: rack=0, trailer=0
2699: right_stack_rack          | Parameter: rack=6, trailer=1
2700: right_stack_rack          | Parameter: rack=5, trailer=2
2701: right_stack_rack          | Parameter: rack=0, trailer=0
2702: left_stack_rack           | Parameter: rack=2, trailer=0
2703: left_unstack_rack         | Parameter: rack=0, trailer=0
2704: right_unstack_rack        | Parameter: rack=6, trailer=0
2705: right_stack_rack          | Parameter: rack=2, trailer=0
2706: left_stack_rack           | Parameter: rack=6, trailer=0
2707: left_unstack_rack         | Parameter: rack=5, trailer=0
2708: left_stack_rack           | Parameter: rack=2, trailer=0
2709: left_unstack_rack         | Parameter: rack=0, trailer=0
2710: right_unstack_rack        | Parameter: rack=0, trailer=0
2711: right_unstack_rack        | Parameter: rack=5, trailer=1
2712: right_unstack_rack        | Parameter: rack=0, trailer=2
2713: right_stack_rack          | Parameter: rack=5, trailer=1
2714: left_stack_rack           | Parameter: rack=0, trailer=0
2715: left_unstack_rack         | Parameter: rack=1, trailer=0
2716: right_unstack_rack        | Parameter: rack=6, trailer=1
2717: right_stack_rack          | Parameter: rack=1, trailer=0
2718: left_stack_rack           | Parameter: rack=6, trailer=0
2719: left_unstack_rack         | Parameter: rack=2, trailer=0
2720: right_unstack_rack        | Parameter: rack=1, trailer=0
2721: right_stack_rack          | Parameter: rack=0, trailer=2
2722: left_stack_rack           | Parameter: rack=1, trailer=0
2723: left_unstack_rack         | Parameter: rack=3, trailer=0
2724: right_stack_rack          | Parameter: rack=0, trailer=0
2725: left_stack_rack           | Parameter: rack=0, trailer=0
2726: left_unstack_rack         | Parameter: rack=2, trailer=0
2727: right_unstack_rack        | Parameter: rack=2, trailer=2
2728: right_unstack_rack        | Parameter: rack=6, trailer=0
2729: right_stack_rack          | Parameter: rack=2, trailer=2
2730: right_stack_rack          | Parameter: rack=2, trailer=0
2731: left_stack_rack           | Parameter: rack=3, trailer=0
2732: left_unstack_rack         | Parameter: rack=0, trailer=0
2733: right_stack_rack          | Parameter: rack=2, trailer=1
2734: right_unstack_rack        | Parameter: rack=3, trailer=2
2735: left_stack_rack           | Parameter: rack=6, trailer=0
2736: left_unstack_rack         | Parameter: rack=7, trailer=0
2737: right_stack_rack          | Parameter: rack=0, trailer=2
2738: right_unstack_rack        | Parameter: rack=2, trailer=0
2739: right_stack_rack          | Parameter: rack=3, trailer=0
2740: right_unstack_rack        | Parameter: rack=7, trailer=0
2741: right_unstack_rack        | Parameter: rack=1, trailer=2
2742: right_stack_rack          | Parameter: rack=7, trailer=2
2743: left_stack_rack           | Parameter: rack=2, trailer=0
2744: left_unstack_rack         | Parameter: rack=5, trailer=0
2745: right_unstack_rack        | Parameter: rack=2, trailer=2
2746: left_stack_rack           | Parameter: rack=7, trailer=0
2747: left_unstack_rack         | Parameter: rack=3, trailer=0
2748: left_stack_rack           | Parameter: rack=2, trailer=0
2749: left_unstack_rack         | Parameter: rack=7, trailer=0
2750: right_unstack_rack        | Parameter: rack=3, trailer=1
2751: left_stack_rack           | Parameter: rack=7, trailer=0
2752: left_unstack_rack         | Parameter: rack=0, trailer=0
2753: right_stack_rack          | Parameter: rack=7, trailer=1
2754: left_stack_rack           | Parameter: rack=1, trailer=0
2755: left_unstack_rack         | Parameter: rack=7, trailer=0
2756: right_stack_rack          | Parameter: rack=7, trailer=0
2757: right_unstack_rack        | Parameter: rack=5, trailer=1
2758: right_unstack_rack        | Parameter: rack=6, trailer=0
2759: right_stack_rack          | Parameter: rack=5, trailer=0
2760: left_stack_rack           | Parameter: rack=3, trailer=0
2761: left_unstack_rack         | Parameter: rack=1, trailer=0
2762: right_stack_rack          | Parameter: rack=3, trailer=1
2763: left_stack_rack           | Parameter: rack=7, trailer=0
2764: right_unstack_rack        | Parameter: rack=6, trailer=1
2765: left_unstack_rack         | Parameter: rack=2, trailer=0
2766: right_stack_rack          | Parameter: rack=0, trailer=1
2767: left_stack_rack           | Parameter: rack=1, trailer=0
2768: left_unstack_rack         | Parameter: rack=6, trailer=0
2769: right_unstack_rack        | Parameter: rack=1, trailer=1
2770: right_unstack_rack        | Parameter: rack=6, trailer=0
2771: right_stack_rack          | Parameter: rack=2, trailer=1
2772: right_stack_rack          | Parameter: rack=2, trailer=0
2773: left_stack_rack           | Parameter: rack=6, trailer=0
2774: left_unstack_rack         | Parameter: rack=1, trailer=0
2775: right_unstack_rack        | Parameter: rack=2, trailer=0
2776: right_unstack_rack        | Parameter: rack=7, trailer=1
2777: left_stack_rack           | Parameter: rack=1, trailer=0
2778: left_unstack_rack         | Parameter: rack=7, trailer=0
2779: right_stack_rack          | Parameter: rack=1, trailer=0
2780: left_stack_rack           | Parameter: rack=6, trailer=0
2781: left_unstack_rack         | Parameter: rack=2, trailer=0
2782: left_stack_rack           | Parameter: rack=7, trailer=0
2783: left_unstack_rack         | Parameter: rack=1, trailer=0
2784: right_unstack_rack        | Parameter: rack=7, trailer=0
2785: left_stack_rack           | Parameter: rack=2, trailer=0
2786: left_unstack_rack         | Parameter: rack=6, trailer=0
2787: right_stack_rack          | Parameter: rack=5, trailer=0
2788: left_stack_rack           | Parameter: rack=5, trailer=0
2789: left_unstack_rack         | Parameter: rack=1, trailer=0
2790: right_unstack_rack        | Parameter: rack=1, trailer=0
2791: left_stack_rack           | Parameter: rack=1, trailer=0
2792: left_unstack_rack         | Parameter: rack=2, trailer=0
2793: right_stack_rack          | Parameter: rack=1, trailer=0
2794: right_unstack_rack        | Parameter: rack=3, trailer=0
2795: left_stack_rack           | Parameter: rack=6, trailer=0
2796: left_unstack_rack         | Parameter: rack=3, trailer=0
2797: right_stack_rack          | Parameter: rack=6, trailer=0
2798: left_stack_rack           | Parameter: rack=1, trailer=0
2799: left_unstack_rack         | Parameter: rack=0, trailer=0
2800: left_stack_rack           | Parameter: rack=7, trailer=0
2801: left_unstack_rack         | Parameter: rack=2, trailer=0
2802: right_unstack_rack        | Parameter: rack=0, trailer=0
2803: left_stack_rack           | Parameter: rack=5, trailer=0
2804: left_unstack_rack         | Parameter: rack=0, trailer=0
2805: right_stack_rack          | Parameter: rack=3, trailer=0
2806: left_stack_rack           | Parameter: rack=7, trailer=0
2807: left_unstack_rack         | Parameter: rack=3, trailer=0
2808: right_stack_rack          | Parameter: rack=3, trailer=2
2809: right_stack_rack          | Parameter: rack=0, trailer=1
2810: right_unstack_rack        | Parameter: rack=6, trailer=2
2811: right_stack_rack          | Parameter: rack=2, trailer=2
2812: left_stack_rack           | Parameter: rack=3, trailer=0
2813: left_unstack_rack         | Parameter: rack=1, trailer=0
2814: left_stack_rack           | Parameter: rack=7, trailer=0
2815: left_unstack_rack         | Parameter: rack=3, trailer=0
2816: right_unstack_rack        | Parameter: rack=2, trailer=1
2817: right_stack_rack          | Parameter: rack=6, trailer=1
2818: left_stack_rack           | Parameter: rack=2, trailer=0
2819: left_unstack_rack         | Parameter: rack=1, trailer=0
2820: right_unstack_rack        | Parameter: rack=2, trailer=0
2821: right_stack_rack          | Parameter: rack=3, trailer=0
2822: left_stack_rack           | Parameter: rack=2, trailer=0
2823: left_unstack_rack         | Parameter: rack=5, trailer=0
2824: left_stack_rack           | Parameter: rack=3, trailer=0
2825: left_unstack_rack         | Parameter: rack=4, trailer=0
2826: right_unstack_rack        | Parameter: rack=3, trailer=0
2827: left_stack_rack           | Parameter: rack=3, trailer=0
2828: right_unstack_rack        | Parameter: rack=7, trailer=1
2829: left_unstack_rack         | Parameter: rack=3, trailer=0
2830: right_unstack_rack        | Parameter: rack=4, trailer=2
2831: left_stack_rack           | Parameter: rack=4, trailer=0
2832: left_unstack_rack         | Parameter: rack=1, trailer=0
2833: left_stack_rack           | Parameter: rack=7, trailer=0
2834: left_unstack_rack         | Parameter: rack=6, trailer=0
2835: right_stack_rack          | Parameter: rack=5, trailer=0
2836: left_stack_rack           | Parameter: rack=1, trailer=0
2837: left_unstack_rack         | Parameter: rack=7, trailer=0
2838: right_stack_rack          | Parameter: rack=4, trailer=2
2839: right_stack_rack          | Parameter: rack=7, trailer=1
2840: right_unstack_rack        | Parameter: rack=2, trailer=2
2841: left_stack_rack           | Parameter: rack=2, trailer=0
2842: left_unstack_rack         | Parameter: rack=4, trailer=0
2843: right_unstack_rack        | Parameter: rack=3, trailer=1
2844: right_stack_rack          | Parameter: rack=4, trailer=2
2845: left_stack_rack           | Parameter: rack=3, trailer=0
2846: left_unstack_rack         | Parameter: rack=1, trailer=0
2847: right_unstack_rack        | Parameter: rack=1, trailer=0
2848: right_stack_rack          | Parameter: rack=4, trailer=0
2849: right_unstack_rack        | Parameter: rack=0, trailer=2
2850: right_stack_rack          | Parameter: rack=0, trailer=1
2851: right_unstack_rack        | Parameter: rack=4, trailer=1
2852: left_stack_rack           | Parameter: rack=0, trailer=0
2853: left_unstack_rack         | Parameter: rack=2, trailer=0
2854: right_unstack_rack        | Parameter: rack=2, trailer=0
2855: right_stack_rack          | Parameter: rack=3, trailer=0
2856: right_unstack_rack        | Parameter: rack=1, trailer=0
2857: left_stack_rack           | Parameter: rack=2, trailer=0
2858: left_unstack_rack         | Parameter: rack=1, trailer=0
2859: left_stack_rack           | Parameter: rack=2, trailer=0
2860: left_unstack_rack         | Parameter: rack=1, trailer=0
2861: left_stack_rack           | Parameter: rack=0, trailer=0
2862: left_unstack_rack         | Parameter: rack=3, trailer=0
2863: right_stack_rack          | Parameter: rack=0, trailer=1
2864: right_stack_rack          | Parameter: rack=3, trailer=0
2865: right_unstack_rack        | Parameter: rack=3, trailer=1
2866: right_unstack_rack        | Parameter: rack=4, trailer=0
2867: right_stack_rack          | Parameter: rack=0, trailer=0
2868: right_unstack_rack        | Parameter: rack=5, trailer=0
2869: left_stack_rack           | Parameter: rack=1, trailer=0
2870: left_unstack_rack         | Parameter: rack=6, trailer=0
2871: right_stack_rack          | Parameter: rack=4, trailer=1
2872: right_unstack_rack        | Parameter: rack=5, trailer=1
2873: left_stack_rack           | Parameter: rack=3, trailer=0
2874: left_unstack_rack         | Parameter: rack=2, trailer=0
2875: left_stack_rack           | Parameter: rack=4, trailer=0
2876: left_unstack_rack         | Parameter: rack=6, trailer=0
2877: left_stack_rack           | Parameter: rack=4, trailer=0
2878: left_unstack_rack         | Parameter: rack=2, trailer=0
2879: right_stack_rack          | Parameter: rack=1, trailer=0
2880: left_stack_rack           | Parameter: rack=1, trailer=0
2881: left_unstack_rack         | Parameter: rack=7, trailer=0
2882: left_stack_rack           | Parameter: rack=2, trailer=0
2883: left_unstack_rack         | Parameter: rack=5, trailer=0
2884: right_unstack_rack        | Parameter: rack=1, trailer=0
2885: right_stack_rack          | Parameter: rack=7, trailer=0
2886: right_unstack_rack        | Parameter: rack=0, trailer=0
2887: left_stack_rack           | Parameter: rack=3, trailer=0
2888: left_unstack_rack         | Parameter: rack=1, trailer=0
2889: right_stack_rack          | Parameter: rack=6, trailer=0
2890: left_stack_rack           | Parameter: rack=1, trailer=0
2891: left_unstack_rack         | Parameter: rack=4, trailer=0
2892: right_unstack_rack        | Parameter: rack=3, trailer=0
2893: left_stack_rack           | Parameter: rack=1, trailer=0
2894: left_unstack_rack         | Parameter: rack=6, trailer=0
2895: left_stack_rack           | Parameter: rack=5, trailer=0
2896: left_unstack_rack         | Parameter: rack=0, trailer=0
2897: right_stack_rack          | Parameter: rack=0, trailer=0
2898: right_stack_rack          | Parameter: rack=6, trailer=2
2899: right_stack_rack          | Parameter: rack=3, trailer=1
2900: right_unstack_rack        | Parameter: rack=6, trailer=1
2901: right_unstack_rack        | Parameter: rack=6, trailer=2
2902: right_stack_rack          | Parameter: rack=0, trailer=2
2903: left_stack_rack           | Parameter: rack=4, trailer=0
2904: right_unstack_rack        | Parameter: rack=4, trailer=0
2905: right_unstack_rack        | Parameter: rack=3, trailer=2
2906: right_stack_rack          | Parameter: rack=5, trailer=2
2907: right_unstack_rack        | Parameter: rack=4, trailer=2
2908: right_stack_rack          | Parameter: rack=6, trailer=0
2909: right_unstack_rack        | Parameter: rack=5, trailer=0
2910: left_unstack_rack         | Parameter: rack=0, trailer=0
2911: left_stack_rack           | Parameter: rack=2, trailer=0
2912: left_unstack_rack         | Parameter: rack=5, trailer=0
2913: left_stack_rack           | Parameter: rack=4, trailer=0
2914: right_stack_rack          | Parameter: rack=0, trailer=0
2915: right_unstack_rack        | Parameter: rack=1, trailer=0
2916: right_stack_rack          | Parameter: rack=6, trailer=0
2917: right_unstack_rack        | Parameter: rack=0, trailer=0
2918: left_unstack_rack         | Parameter: rack=7, trailer=0
2919: right_stack_rack          | Parameter: rack=3, trailer=0
2920: right_unstack_rack        | Parameter: rack=7, trailer=0
2921: right_stack_rack          | Parameter: rack=4, trailer=0
2922: right_unstack_rack        | Parameter: rack=5, trailer=0
2923: right_stack_rack          | Parameter: rack=5, trailer=2
2924: right_unstack_rack        | Parameter: rack=0, trailer=2
2925: left_stack_rack           | Parameter: rack=5, trailer=0
2926: right_stack_rack          | Parameter: rack=0, trailer=0
2927: right_unstack_rack        | Parameter: rack=4, trailer=0
2928: left_unstack_rack         | Parameter: rack=2, trailer=0
2929: right_stack_rack          | Parameter: rack=7, trailer=0
2930: right_unstack_rack        | Parameter: rack=6, trailer=0
2931: left_stack_rack           | Parameter: rack=5, trailer=0
2932: right_stack_rack          | Parameter: rack=0, trailer=0
